# beat|mode|scene|action|camera|light|mood|search (source:terms;source:terms)
# modes: F archival film, P archival photo, S modern stock, G graphic board, B AI b&w, C AI colour, R AI cinematic recreation
483|P|a steel valley from above|slow push-in|AER|OVC|PRIDE|loc:Monongahela valley steel;fsa:Aliquippa
484|B|1950s: steelworkers in heat suits at an open hearth furnace, sparks flying|they tap the furnace|MS|FIRE|PRIDE|
485|G|Cream graph-paper board, stamp 1959 · THE LONG STRIKE|stamp thumps down|TOP|||
486|P|steelworkers on a picket line in 1959|slow push-in|WS|DAY|TENSE|loc:steel strike 1959;loc:steelworkers picket
487|C|1960s: a steelworker in his work jacket holding his pay envelope at the mill gate, smiling|he pockets it|MS|DUSK|PRIDE|
488|C|1960s: a brick house on a hill above a smoky steel mill|slow push-in|WS|DUSK|NOS|
489|B|1960s: a new sedan parked in front of a brick house on a steep street above the mill|slow pan|WS|DAY|PRIDE|
490|F|a family splashing at a lake on summer vacation|the kids splash|WS|DAY|NOS|prelinger:vacation lake;prelinger:home movies summer
491|C|1960s: a steelworker's family loading the car for their summer vacation|the father closes the trunk|WS|DAY|NOS|
492|B|1960s: a father and his teenage son walking together toward the mill gates|they walk side by side|BACK|DAWN|PRIDE|
493|G|Cream graph-paper board, arrows drawing into the United States, label IMPORTED STEEL|arrows draw|TOP|||
494|F|an old open hearth furnace roaring|the furnace roars|MS|FIRE|COLD|prelinger:open hearth;prelinger:steel furnace
495|P|a 1970s steel town in decline|slow push-in|WS|OVC|GRIEF|nara:DOCUMERICA steel mill;nara:DOCUMERICA steel town
496|G|Cream graph-paper board, counter ≈ HALF THE JOBS GONE|counter rolls|TOP|||
497|S|old brick row houses on a steep hill today|slow pan|WS|OVC|STARK|pexels:pittsburgh houses hill;pexels:row houses hill
498|S|an abandoned steel mill|slow push-in|WS|OVC|STARK|pexels:abandoned steel mill;pexels:rust belt factory
499|G|Grey graph-paper board, giant semi-transparent #3, curved label APPLIANCE WORKER arcing over a cut-out 1960s refrigerator|number slams in, refrigerator slides in|TOP|||
500|G|Cream graph-paper board, label 1951 · APPLIANCE PARK · LOUISVILLE, KY|label arcs in|TOP|||
501|B|1950s: a vast new factory complex under construction on flat Kentucky farmland, cranes and steel frames|slow pan|AER|DAY|PRIDE|
502|G|Cream graph-paper board, counter ≈ 23,000 WORKERS · EARLY 1970s|counter rolls|TOP|||
503|F|refrigerators moving down an assembly line|refrigerators roll down the line|MS|FLUOR|PRIDE|prelinger:refrigerator manufacturing;prelinger:appliance factory
504|F|a 1950s housewife in a gleaming new kitchen with new appliances|she opens the refrigerator|MS|WIN|NOS|prelinger:kitchen 1950s;prelinger:washing machine
505|G|Cream graph-paper board, circle diagram WORKER → REFRIGERATOR → HOUSE|arrows loop around|TOP|||
506|C|1960s: a factory worker at home opening his own refrigerator, his kids gathered around him|he opens the door|MS|TUNG|NOS|
507|C|1960s: a young family moving into a new suburban house, carrying boxes|they carry boxes up the path|WS|DAY|HOPE|
508|C|1960s: a delivery man wheeling a refrigerator into a sunny new kitchen|he wheels it in|MS|WIN|NOS|
509|P|factory workers at a big plant|slow push-in|WS|DAY|PRIDE|nara:factory workers 1960s;loc:factory workers
510|F|1950s suburbs from the air, rows of new houses|houses roll past below|AER|DAY|NOS|prelinger:suburbia 1950s;prelinger:suburbs
511|R|1970s: an automated appliance line with robotic arms and only a few workers|a robotic arm swings|WS|FLUOR|COLD|
512|G|Cream graph-paper board, counter falling 23,000 → A FRACTION|counter rolls down|TOP|||
513|G|Cream graph-paper board, stamp 2016 · SOLD TO HAIER over a cut-out refrigerator|stamp thumps down|TOP|||
514|S|a modern appliance factory line|slow push-in|WS|FLUOR|COLD|pexels:appliance factory;pexels:factory assembly line
515|S|a modern kitchen with a new refrigerator|slow push-in|MS|WIN|QUIET|pexels:modern kitchen refrigerator
516|B|1960s: an old refrigerator standing alone in the empty kitchen of an abandoned house|slow push-in|MS|WIN|GRIEF|
517|G|Cream graph-paper board, the WORKER → REFRIGERATOR → HOUSE circle snapping apart|arrows snap apart|TOP|||
518|G|Grey graph-paper board, giant semi-transparent #2, curved label HARDWARE STORE OWNER arcing over a cut-out skeleton key|number slams in, key slides in|TOP|||
519|P|a Main Street hardware store|slow push-in|WS|DAY|NOS|fsa:hardware store;fsa-color:main street
520|P|the inside of a small-town hardware store|slow pan|WS|WIN|NOS|fsa:hardware store interior;fsa:general store interior
521|C|1960s: a hardware store owner in a canvas apron behind a wooden counter helping a customer|he holds up a bolt|MS|WIN|NOS|
522|B|1960s: the owner's hands sorting bolts from small wooden drawers|his hands pick out a bolt|CU|WIN|NOS|
523|B|1960s: nails being weighed on an old scale on the counter|the scoop pours|CU|WIN|NOS|
524|F|a key being cut on a machine|the key grinds|CU|WIN|NOS|prelinger:hardware store;pexels:key cutting
525|C|1960s: a hardware store owner shaking a paint can on a mixer while chatting with a farmer|the mixer shakes|MS|WIN|NOS|
526|B|1960s: a store owner writing a family's purchase into a credit ledger|the pen writes|CU|WIN|NOS|
527|C|1960s: a farmer shaking hands with the hardware store owner at the counter|they shake hands|MS|WIN|NOS|
528|G|Cream graph-paper board, icons HOUSE • COLLEGE pop in|icons pop|TOP|||
529|P|a shady small-town residential street|slow push-in|WS|DAY|NOS|fsa:small town street houses;fsa:small town street
530|C|1960s: a hardware store owner's son in a graduation gown on the store steps with his parents|they pose together|MS|DAY|PRIDE|
531|P|a store owner and his son behind their counter|slow push-in|MS|WIN|PRIDE|fsa:store owner and son;fsa:general store owner
532|R|1990s: a giant big-box home improvement store beside a highway, a huge parking lot|slow pan|AER|DAY|COLD|
533|S|a big-box store parking lot from above|slow push-in|AER|DAY|COLD|pexels:big box store parking lot aerial;pexels:parking lot aerial
534|S|a long big-box hardware aisle|slow push-in|WS|FLUOR|COLD|pexels:hardware store aisle
535|G|Cream graph-paper board, counter THOUSANDS OF STORES CLOSED|counter rolls|TOP|||
536|S|an empty small-town Main Street with closed storefronts|slow pan|WS|OVC|STARK|pexels:empty main street;pexels:closed storefront
537|B|1980s: an empty hardware store with bare shelves, the bell over the door still|the bell swings slightly|WS|WIN|GRIEF|
538|G|Grey graph-paper board, giant semi-transparent #1, curved label AUTOWORKER arcing over a cut-out 1960s sedan|number slams in, car slides in|TOP|||
539|F|an automobile assembly line in full motion|the line moves|WS|FLUOR|PRIDE|prelinger:assembly line;prelinger:Master Hands
540|G|Cream graph-paper board, label 1950 · THE TREATY OF DETROIT|label arcs in|TOP|||
541|P|autoworkers and union leaders in 1950|slow push-in|MS|FLASH|PRIDE|loc:United Auto Workers;loc:auto workers union
542|G|Cream graph-paper board, stamps RAISE • COST OF LIVING • HEALTH • PENSION|stamps thump down|TOP|||
543|P|autoworkers on the line|slow push-in|MS|FLUOR|PRIDE|fsa:automobile factory;loc:automobile assembly line
544|F|car bodies dropping onto chassis in a big plant|a body drops onto the chassis|MS|FLUOR|PRIDE|prelinger:automobile factory;prelinger:car assembly
545|G|Cream graph-paper board, $3+ AN HOUR · MID-1960s types out|figure types out|TOP|||
546|C|1960s: an autoworker and his family in front of their new house, a new sedan in the driveway|the kids run to the car|WS|DAY|PRIDE|
547|C|1960s: a family at a lakeside cottage up north, the father grilling|smoke drifts from the grill|WS|DUSK|NOS|
548|B|1960s: an eighteen-year-old in a new work shirt walking through the factory gates on his first day|he walks through the gates|BACK|DAWN|HOPE|
549|G|Cream graph-paper board, timeline AGE 18 → AGE 55 with labels PENSION + PAID-OFF HOUSE|timeline draws|TOP|||
550|F|new cars rolling off the end of the line|cars roll off the line|WS|FLUOR|PRIDE|prelinger:new cars 1950s;prelinger:automobile production
551|C|1960s: a gleaming new sedan rolling off the end of the assembly line, workers watching with pride|the car rolls out|WS|FLUOR|PRIDE|
552|G|Cream graph-paper board, label WHY #1? and the opening line STILL EXISTS reappears|label pulses|TOP|||
553|S|robots welding cars in a modern plant|slow push-in|WS|FLUOR|COLD|pexels:car factory robots;pexels:car assembly robots
554|G|Cream graph-paper board, stamp 2007 · TWO-TIER CONTRACT|stamp thumps down|TOP|||
555|G|Cream graph-paper board, NEW HIRES: ≈ $14 AN HOUR types out|figure types out|TOP|||
556|G|Cream graph-paper board, two bars: 1965 WAGE IN 2007 DOLLARS ≈ $22 vs NEW HIRE $14|bars rise|TOP|||
557|B|1960s: a family house at dusk seen from the street, lights on inside|the lights go off one by one|WS|DUSK|GRIEF|
558|C|1960s: an elderly man in an armchair by a window with a family photo album on his lap|he opens the album|MS|WIN|NOS|
559|S|a grandchild talking with a grandparent on a porch|slow push-in|MS|DAY|NOS|pexels:grandparent grandchild talking;pexels:grandfather and grandson
560|P|a father at work in the 1940s|slow push-in|MS|DAY|PRIDE|fsa:worker portrait;fsa:factory worker
561|G|Cream graph-paper board, question HOW MANY PAYCHECKS? types out|question types out|TOP|||
562|P|a family in front of their home|slow push-in|WS|DAY|NOS|fsa-color:house family;loc:family home
563|S|an elderly man telling a story|slow push-in|MS|WIN|NOS|pexels:elderly man talking;pexels:old man storytelling
564|S|a hand scrolling house listings on a phone|slow push-in|CU|WIN|COLD|pexels:house price phone;pexels:real estate phone
565|G|Cream graph-paper board, a comment bubble icon with label TELL ME IN THE COMMENTS|bubble pops|TOP|||
566|G|Cream graph-paper board, a collage of all 25 job icons filling the grid|icons fill the grid|TOP|||
567|P|a milkman, a trucker and a steelworker|slow pan|WS|DAY|NOS|fsa:milkman;fsa:truck driver
568|P|a switchboard operator|slow push-in|MS|FLUOR|NOS|loc:telephone operator;fsa:switchboard
569|P|an autoworker on the line|slow push-in|MS|FLUOR|PRIDE|fsa:automobile worker;loc:automobile assembly line
570|P|a coal miner|slow push-in|MS|OVC|PRIDE|fsa:coal miner;nara:DOCUMERICA coal miner
571|C|1960s: glass milk bottles on a porch step at sunrise|the light warms|CU|DAWN|NOS|
572|F|a milkman setting bottles on a porch at dawn|bottles are set down|MS|DAWN|NOS|prelinger:milkman;prelinger:milk delivery
573|B|1960s: a line of workers walking home at sunset past small houses|they walk home|BACK|DUSK|PRIDE|
574|C|1960s: an ordinary family on their porch steps, the father in work clothes with his arm around his wife, kids in front|they smile|WS|DUSK|PRIDE|
575|P|a small American town with a factory smokestack and a church steeple|slow push-in|AER|DUSK|NOS|fsa:small town;loc:small town aerial
576|B|1960s: an empty front porch at dusk with one light on, a rocking chair slowly moving|the chair rocks|WS|DUSK|GRIEF|
